ID,Country/Region of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
11,Guatemala,Karen Acajabon Coffee Farm,"The 2022 Pacific Rim Coffee Summit,GT12",Cafetoland,,Taiwan Coffee Laboratory,2000,Acatenango,Karen Acajabon,5,15 kg,Taiwan Coffee Laboratory ?????????????????????,2021,"November 15th, 2022",Full Sweet Coffee,Gesha,Completed,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,86.25,11.5,0,0,brownish,1,"November 15th, 2023"
12,Taiwan,?????????????????? Goodfun Coffee Farm,"The 2022 Pacific Rim Coffee Summit,T051",??????????????????,,Taiwan Coffee Laboratory,1250,Yunlin,?????????,1,60 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Goodfun,Gesha,Completed,Washed / Wet,8.08,8,8.08,8.08,8,8,10,10,10,8,0,86.25,11.9,0,0,green,0,"November 15th, 2023"
13,Ethiopia,Gelana Geisha,"Grade 1, Guji, Natural, Gelana Geisha",Dry Mill or Hulling Facility,010/0475/0207,Kerchanshe Trading PLC,1900-2000,Guji,Kerchanshe,40,60 kg,METAD Agricultural Development plc,2021 / 2022,"August 26th, 2022",Isreal Degefa,Gesha,Completed,Natural / Dry,7.67,8.17,8,8.33,8,8,10,10,10,8,0,86.17,11.6,0,3,yellow- green,2,"August 26th, 2023"
14,Colombia,La Gaitania,"The 2022 Pacific Rim Coffee Summit,CO03",La Gaitania,,Taiwan Coffee Laboratory,1850,tolima,Josue Enciso Suarez,70,35 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",PeiHsun Lin,Caturra,Completed,Washed / Wet,8.08,8,8.08,7.92,8.08,8,10,10,10,8,0,86.17,10.6,0,0,green,0,"November 15th, 2023"
15,Taiwan,??????????????????,"The 2022 Pacific Rim Coffee Summit,T014",??????????????????,,Taiwan Coffee Laboratory,1100,Chiayi,?????????,1,60 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,SL34,Completed,Pulped natural / honey,8.17,8.08,8,7.92,8,7.92,10,10,10,8,0,86.08,10.2,0,0,green,0,"November 15th, 2023"
16,Ethiopia,Halo Bariti Cooprative,CQU2023006,Halo Bariti Cooprative,,Coffee Quality Union,1900-2100,"Gedeb,Yirgacheffe,Sidamo",Halo Bariti Cooprative,8,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023",Coffee Quality Union,"Wolishalo,Kurume,Dega",Completed,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,0,86.08,11.3,0,2,green,2,"April 6th, 2024"
17,Taiwan,??????????????????,202203,yes,non,Dongbi coffee,1300,"Shibi, Gukeng Township, Yunlin County ????????€??? , Taiwan (R.O.C.)",?????????,5,2 kg,Blossom Valley International????????????,2022,"October 24th, 2022",Dongbi,Gesha,Completed,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,86.08,10.3,0,0,yellow-green,0,"October 24th, 2023"
18,Taiwan,???????????????????????????,202112,yes,non,????????????????????????,1200,"Gukeng Township, Yunlin County",????€????,8,1 kg,Blossom Valley International????????????,2021 / 2022,"October 24th, 2022",????€????,Gesha,Completed,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,85.92,11,0,0,brownish,1,"October 24th, 2023"
19,"Tanzania, United Republic Of",BURKA,CN 4127230032/P-9140,GOURMET COFFEE MILL,033/DE/163/001,DORMAN (T) LIMITED,1570-1600,Arusha,DORMAN (T) LIMITED,200,30 kg,Kenya Coffee Traders Association,2022 / 2023,"February 1st, 2023",Gilbert Maina,Bourbon,Completed,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,85.83,10,0,0,greenish,0,"February 1st, 2024"
20,Guatemala,Finca Vista Hermosa,"The 2022 Pacific Rim Coffee Summit,GT03",El Vergel,,Taiwan Coffee Laboratory,1900,"Guatemala, Fraijanes, Santa Rosa",Fredy Orantes,8,30 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Carlos Pascual - ?????????,Gesha,Completed,Natural / Dry,8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,0,85.75,11.6,0,0,yellowish,0,"November 15th, 2023"
21,Taiwan,?????????????????????Uncle Chung.s Coffee Farm,2022/03,?????????????????????Uncle Chung.s Coffee Farm,,Taiwan Coffee Laboratory,850,?????????Zhuoxi Township,????????? YU TING YU,1,20 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"December 12th, 2022",Yu Ting Yu ?????????,Typica,Completed,Natural / Dry,8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,0,85.67,10.4,0,0,green,0,"December 12th, 2023"
22,Thailand,Hom Doi,1,Machines to peel outer skin of the cherry coffee and coffee is dried manually,,Lyrose,1500-1700,Chiang Mai,Lisu farmers,2,1 kg,FABB Academy of Coffee,2021 / 2022,"August 16th, 2022",Christian Charmette,Catimor,Completed,Pulped natural / honey,7.67,8,7.83,8,8.08,8,10,10,10,8.08,0,85.67,9.8,0,0,browish-green,5,"August 16th, 2023"
23,Colombia,El Diamante,CQU2023005,El Diamante,,Coffee Quality Union,1350,Quindio,Farm Bedoya Arango,6,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023",Coffee Quality Union,Castillo Paraguaycito,Completed,,8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,0,85.67,11.3,0,0,brownish,2,"April 6th, 2024"
24,Taiwan,??????????????????,"The 2022 Pacific Rim Coffee Summit, T003",??????????????????,,Taiwan Coffee Laboratory,1250,Yunlin,?????????,4,50 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,SL34,Completed,Washed / Wet,7.83,8,7.92,8,8,7.92,10,10,10,7.92,0,85.58,10.6,0,0,bluish-green,0,"November 15th, 2023"
25,Brazil,Fazenda Recreio,Arara 1,Dry mill,,"WIT wealth, investments & trust",1250,Regi??o Vulc??nica,Diogo T. Dias de Macedo,25,60 kg,Brazil Specialty Coffee Association,2022,"January 6th, 2023",Andre Clark,,Completed,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5,11.3,2,0,green,3,"January 6th, 2024"
26,Taiwan,?????????ZouZhouYuan,"The 2022 Pacific Rim Coffee Summit,T024",?????????ZouZhouYuan,,Taiwan Coffee Laboratory,1300,Chiayi,???????€?,1,100 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022","Fang, Cheng Lun ???????€?",Gesha,Completed,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,85.5,9.1,0,0,green,2,"November 15th, 2023"
27,Taiwan,??????????????????,"The 2022 Pacific Rim Coffee Summit,T048",??????????????????,,Taiwan Coffee Laboratory,1200,Yunlin,?????????,1,90 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022","Jhih Hao,GUO ?????????",Gesha,Completed,Natural / Dry,8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,85.5,10.6,0,0,green,0,"November 15th, 2023"
28,Taiwan,?????????????????????,"The 2022 Pacific Rim Coffee Summit,T045",?????????????????????,,Taiwan Coffee Laboratory,1060,Chiayi,?????????,1,85 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Natural / Dry,8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,85.5,10.2,0,0,blue-green,0,"November 15th, 2023"
29,United States (Hawaii),Hokukano Ranch,"The 2022 Pacific Rim Coffee Summit,US01",Kona Coffee & Tea,,Taiwan Coffee Laboratory,600,Kona,Kona Hills LLC,80,15 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Typica,Completed,Washed / Wet,8,7.92,8,7.83,7.67,8,10,10,10,8,0,85.42,9.3,0,0,green,0,"November 15th, 2023"
30,Taiwan,??????????????????Siang-Ting Organic Farm,2022/3/1(?€????),??????????????????Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-250,?????????Shoufeng Township,????€????Zhang Jin-Yi,3,48 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"December 12th, 2022",Zhang Jin Yi ????€????,Typica,Completed,Washed / Wet,8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,85.42,11.4,0,0,bluish-green,0,"December 12th, 2023"
31,Taiwan,??????????????????Siang-Ting Organic Farm,2022/02,??????????????????Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-250,?????????Shoufeng Township,????€????Zhang Jin-Yi,3,50 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"December 12th, 2022",Zhang Jin Yi ????€????,Typica,Completed,Washed / Wet,7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,0,85.33,10.8,0,0,green,0,"December 12th, 2023"
32,Taiwan,?????????????????????(Jinzan Coffee Estate),2022?????????????????????????????????,?????????????????????(Jinzan Coffee Estate),,Taiwan Coffee Laboratory,668,"Dongshan Dist., Tainan City","????????? (YE,MING-ZAN)",4,5 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"June 8th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,0,85.33,11.3,0,0,green,0,"June 8th, 2023"
33,Ethiopia,Eshetu farm,Washed Limmu,Lata Agri export,010/1081,Alo Coffee,1950,Oromia,Eshetu,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"June 6th, 2022",Tamiru Tadesse Tesema,Ethiopian Heirlooms,Completed,Washed / Wet,7.67,7.83,7.83,8,8,8,10,10,10,8,0,85.33,9.9,0,2,green,3,"June 6th, 2023"
34,Ethiopia,Uraga Bisrat washing station,0065,dry mill,ICO: 010/ 0218/0065,TADESSE DESTA IMPORT & EXPORT,2150 - 2350,Southern Ethiopia Guji,Bisrat Melaku,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"September 30th, 2022",Tadessa Desta Amene,Ethiopian Heirlooms,Completed,Natural / Dry,8,8.08,8,8,7.67,7.75,10,10,10,7.83,0,85.33,12.3,0,3,yellow green,4,"September 30th, 2023"
35,Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,010/0891/00041,yhaenu plc,1700,OROMIA,YHAENU PLC,320,19200 kg,METAD Agricultural Development plc,2021 / 2022,"December 12th, 2022",YHAENU PLC,Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,0,85.25,9.4,0,1,greenish,1,"December 12th, 2023"
36,Taiwan,?????????????????????,"The 2022 Pacific Rim Coffee Summit, T004",?????????????????????,,Taiwan Coffee Laboratory,1200,Chiayi,?????????,1,100 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Hsu Ting Yey?????????,Gesha,Completed,Washed / Wet,8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,0,85.25,9.5,0,0,bluish-green,0,"November 15th, 2023"
37,Taiwan,??????????????? YU SIANG Coffee Estate,2022?????????????????????????????????,??????????????? YU SIANG Coffee Estate,,Taiwan Coffee Laboratory,650,"Dongshan Dist., Tainan City","?????????(CHEN, JIAN-YUAN)",20,5 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"June 8th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,0,85.25,11.3,0,0,green,0,"June 8th, 2023"
38,Kenya,Small Holder,5516,NKG,,IBERO (K) LTD,1600-1900,Central,Small Holder,300,60 kg,Kenya Coffee Traders Association,2022 / 2023,"February 28th, 2023",Judith Murimi,SL28,Completed,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,85.25,9.2,0,0,greenish,1,"February 28th, 2024"
39,Taiwan,??????????????????,202203,yes,non,????????????????????????,850,"Caoling , Gukeng Township, Yunlin County",?????????,20,1 kg,Blossom Valley International????????????,2017 / 2018,"October 24th, 2022",CHEN RONG FENG,Gesha,Completed,Washed / Wet,7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,85.17,10.3,0,0,bluish-green,0,"October 24th, 2023"
40,Taiwan,???????????€?????????????????????????????????????????€???Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,2022/01,???????????€?????????????????????????????????????????€???Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,,Taiwan Coffee Laboratory,300-500,??€??????Show Linxia Township,????????? Li Zhi-xia,1,10 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"December 12th, 2022",Taiwan Coffee Laboratory ?????????????????????,Typica,Completed,Natural / Dry,8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,0,85.08,10,0,0,brownish,0,"December 12th, 2023"
41,Taiwan,?????€??????,?????????????????€????????????,??????????€??????????,,???????????€??????????????????,1000,????????????,?????????,1,2 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"December 30th, 2022",Ethan Lee ?????????,Typica,Completed,Washed / Wet,8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,0,85.08,10.5,0,0,greenish,0,"December 30th, 2023"
42,Taiwan,???????????????,A26-Northern Taiwan Specialty Coffee Evaluation,???????????????,,Taiwu Coffee Cooperative,800,?????????,????????????,1,50 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Gesha,Completed,Washed / Wet,8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,0,85.08,10,0,0,pale yellow,5,"January 6th, 2024"
43,Uganda,Gideon Kule,7938,Dry Mill,Nov-35,Kyagalanyi Coffee Limited,1905,Rwenzori,Kyagalanyi coffee limited,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,"June 29th, 2022",KYAGALANYI COFFEE LIMITED,SL14,Completed,Washed / Wet,8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,0,85,11,0,0,green,1,"June 29th, 2023"
44,Taiwan,??????????????????iGfarm,2021/01,??????????????????iGfarm,,Taiwan Coffee Laboratory,150,?????????Shoufeng Township,????????? LIU MENG TSUNG,1,50 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"December 12th, 2022",Liu Meng Tsung?????????,Typica,Completed,,7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,0,85,10.9,0,0,green,0,"December 12th, 2023"
45,Taiwan,?????????????????????,"The 2022 Pacific Rim Coffee Summit,T011",?????????????????????,,Taiwan Coffee Laboratory,800,Yunlin,???????€?,6,50 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,0,85,10.1,0,0,yellow green,0,"November 15th, 2023"
46,Guatemala,varias fincas,11/15/118,Beneficio Pastores,11/15/118,"Peter Schoenfeld, S.A.",1600,Antigua,Varios productores,600,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"April 17th, 2023",Yesica Alejandra Mart??nez V??squez,Caturra,Completed,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,85,9.9,0,1,green,1,"April 16th, 2024"
47,Guatemala,PE??A BLANCA,11/951/279,BENEFICIO LAS AMERICAS,11/951/279,"OLAM AGRO GUATEMALA, S.A.",4700,Santa Rosa,PABLO CHUY,632,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"February 23rd, 2023",Yesica Alejandra Mart??nez V??squez,Catuai,Completed,Washed / Wet,7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,85,11.3,0,0,green,4,"February 23rd, 2024"
48,Guatemala,san francisco cotzal,11/441/50,"inmobiliaria e inversiones dos mil, s.a.",11/441/50,"inmobiliaria e inversiones dos mil, s.a.",1600,quiche,san francisco cotzal,275,69 kg,Asociacion Nacional Del Caf??,2021 / 2022,"June 22nd, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,84.92,11.7,0,3,green,1,"June 22nd, 2023"
49,Taiwan,?????????,A03-Northern Taiwan Specialty Coffee Evaluation,?????????,,Taiwu Coffee Cooperative,350-400,?????????,?????????,1,13 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,0,84.92,9.5,0,0,green,2,"January 6th, 2024"
50,Taiwan,????????????,A23-Northern Taiwan Specialty Coffee Evaluation,????????????,,Taiwu Coffee Cooperative,230,?????????,?????????,1,4 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Yellow Bourbon,Completed,Natural / Dry,8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,0,84.83,9.7,0,0,brownish,0,"January 6th, 2024"
51,Indonesia,PT Indo CafCo North Sumatera,016/1513/262,PT Indo CafCo,,InterAmerican Coffee,1200,Aceh Tengah,PT Indo CafCo North Sumatera,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercaf?? AG),2022,"September 23rd, 2022",Charles Umeano,Catimor,Completed,,7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,84.83,11.9,0,3,bluish-green,2,"September 23rd, 2023"
52,Peru,Ruya Yayu Farm,"The 2022 Pacific Rim Coffee Summit,PE02",no.,,Taiwan Coffee Laboratory,1750,Villa Rica,Ruya Yayu,3,5 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Washed / Wet,8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,0,84.83,10.7,0,0,greenish,0,"November 15th, 2023"
53,"Tanzania, United Republic Of",IYENGA,S59588/P03989,CITY COFFEE LTD,0033/0004,VOLCAFE/TaylorWinch Tanzania Ltd,1654,Mbeya,IYENGA AMCOS,620,30 kg,Kenya Coffee Traders Association,2022 / 2023,"November 9th, 2022",Balam Hinyula,Bourbon,Completed,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.83,11.2,0,0,greenish,0,"November 9th, 2023"
54,Taiwan,??????????????????????????????,"The 2022 Pacific Rim Coffee Summit,T029",??????????????????????????????,,Taiwan Coffee Laboratory,1300,Chiayi,?????????,1,25 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,SL34,Completed,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,0,84.83,9.5,0,0,greenish,0,"November 15th, 2023"
55,Taiwan,????????????????????????,"The 2022 Pacific Rim Coffee Summit,T039",????????????????????????,,Taiwan Coffee Laboratory,1400,Nantou,?????????,1,30 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,SL34,Completed,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,0,84.75,10.4,0,0,green,0,"November 15th, 2023"
56,Brazil,Fazenda Guariroba,FBT111,Wet-Hulling,002-1894-0006,Mirai Seeds Corp.,1100,Campo das Vertentes,Homero Paiva,5,36 kg,Japan Coffee Exchange,2022,"February 13th, 2023",Marcelo Itoh,Yellow Bourbon,Completed,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,0,84.75,11.2,0,1,green,5,"February 13th, 2024"
57,Panama,La Santa,2-237-05,La Santa,2-237-05,Panamerican Coffee Trading,1200,Boquete,La Santa,200,30 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 26th, 2023",Rodrigo Soto,Catuai,Completed,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,84.75,10.3,0,1,bluish-green,5,"April 25th, 2024"
58,Taiwan,??????????????????,??????????????????,??????????€??????????,,???????????€??????????????????,1200,????????????,?????????,1,2 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"December 30th, 2022",Ethan Lee ?????????,Yellow Bourbon,Completed,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,0,84.75,10,0,0,blue-green,0,"December 30th, 2023"
59,Guatemala,Varias Fincas,11/15/117,Varios Beneficios,11/15/117,"Peter Schoenfeld, S.A.",1600,Huehuetenango,Varios Productores,600,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"April 28th, 2023",Yesica Alejandra Mart??nez V??squez,Caturra,Completed,Washed / Wet,7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,84.67,10.6,0,0,green,1,"April 27th, 2024"
60,Guatemala,SAN RAFAEL URIAS VALDES,11/54876/03,ECO COFFEE,11/54876/03,"VALBROS, S. A.",4895,ANTIGUA GUATEMALA,"VALBROS, S. A.",66,30 kg,Asociacion Nacional Del Caf??,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Bourbon,Completed,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,10,10,10,7.83,0,84.67,10.9,0,3,yellow-green,2,"May 19th, 2023"
61,Costa Rica,Gamboa Farm,12075,Beneficio Monta??as del Diamante,5-0025-0131,CECA S.A.,1850,Tarrazu,Martin Gutierrez,260,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,84.67,10,0,1,green,2,"April 18th, 2024"
